rank,word,category,priority,source,emoji
1,tak,social,1,AAC_Super_Core,✅
2,nie,social,1,AAC_Super_Core,❌
3,cześć,social,1,AAC_Super_Core,👋
4,dziękuję,social,1,AAC_Super_Core,🙏
5,proszę,social,1,AAC_Super_Core,🙏
6,przepraszam,social,1,AAC_Super_Core,😔
7,pa,social,1,AAC_Super_Core,👋
8,dobranoc,social,2,AAC_Super_Core,🌙
9,dzień dobry,social,2,AAC_Super_Core,☀️
10,ja,pronoun,1,AAC_Super_Core,👆
11,ty,pronoun,1,AAC_Super_Core,👇
12,to,pronoun,1,AAC_Super_Core,👉
13,on,pronoun,1,AAC_Super_Core,👨
14,ona,pronoun,1,AAC_Super_Core,👩
15,my,pronoun,2,AAC_Super_Core,👥
16,wy,pronoun,2,AAC_Super_Core,👥
17,oni,pronoun,2,AAC_Super_Core,👥
18,one,pronoun,2,AAC_Super_Core,👥
19,moje,pronoun,1,AAC_Super_Core,🙋
20,twoje,pronoun,1,AAC_Super_Core,💁
21,się,pronoun,1,AAC_Super_Core,🔄
22,swoje,pronoun,2,AAC_Super_Core,🏠
23,coś,pronoun,1,AAC_Super_Core,❓
24,ktoś,pronoun,1,AAC_Super_Core,🧑
25,wszyscy,pronoun,2,AAC_Super_Core,👥
26,wszystko,pronoun,2,AAC_Super_Core,💯
27,nic,pronoun,2,AAC_Super_Core,⭕
28,nikt,pronoun,2,AAC_Super_Core,🚫
29,co,question,1,AAC_Super_Core,❓
30,kto,question,1,AAC_Super_Core,🧑❓
31,gdzie,question,1,AAC_Super_Core,📍
32,kiedy,question,1,AAC_Super_Core,⏰
33,dlaczego,question,1,AAC_Super_Core,🤔
34,jak,question,1,AAC_Super_Core,❔
35,który,question,2,AAC_Super_Core,1️⃣
36,czemu,question,2,AAC_Super_Core,🤔
37,chcieć,verb,1,AAC_Super_Core,💭
38,dać,verb,1,AAC_Super_Core,🎁
39,mieć,verb,1,AAC_Super_Core,🤲
40,być,verb,1,AAC_Super_Core,✨
41,iść,verb,1,AAC_Super_Core,🚶
42,lubić,verb,1,AAC_Super_Core,❤️
43,robić,verb,1,AAC_Super_Core,🔧
44,jeść,verb,1,AAC_Super_Core,🍽️
45,pić,verb,1,AAC_Super_Core,🥤
46,spać,verb,1,AAC_Super_Core,😴
47,widzieć,verb,1,AAC_Super_Core,👀
48,słyszeć,verb,1,AAC_Super_Core,👂
49,mówić,verb,1,AAC_Super_Core,🗣️
50,pomóc,verb,1,AAC_Super_Core,🆘
51,czekać,verb,1,AAC_Super_Core,⏳
52,bawić się,verb,1,AAC_Super_Core,🎮
53,myć,verb,1,AAC_Super_Core,🧼
54,otwierać,verb,2,AAC_Super_Core,📂
55,zamykać,verb,2,AAC_Super_Core,📁
56,szukać,verb,2,AAC_Super_Core,🔍
57,znaleźć,verb,2,AAC_Super_Core,🔎
58,przyjść,verb,2,AAC_Super_Core,🚶‍➡️
59,wyjść,verb,2,AAC_Super_Core,🚪
60,brać,verb,2,AAC_Super_Core,✋
61,wziąć,verb,2,AAC_Super_Core,🤚
62,dostać,verb,2,AAC_Super_Core,📥
63,kupić,verb,2,AAC_Super_Core,🛒
64,musieć,verb,1,AAC_Super_Core,⚠️
65,móc,verb,1,AAC_Super_Core,💪
66,umieć,verb,1,AAC_Super_Core,🎓
67,wiedzieć,verb,1,AAC_Super_Core,💡
68,rozumieć,verb,2,AAC_Super_Core,🧠
69,pamiętać,verb,2,AAC_Super_Core,🧠
70,zobaczyć,verb,1,AAC_Super_Core,👁️
71,patrzeć,verb,1,AAC_Super_Core,👀
72,skończyć,verb,1,AAC_Super_Core,🏁
73,zacząć,verb,2,AAC_Super_Core,▶️
74,jechać,verb,2,AAC_Super_Core,🚗
75,stać,verb,2,AAC_Super_Core,🧍
76,siedzieć,verb,2,AAC_Super_Core,🪑
77,leżeć,verb,2,AAC_Super_Core,🛋️
78,pracować,verb,2,AAC_Super_Core,💼
79,uczyć się,verb,2,AAC_Super_Core,📚
80,pisać,verb,2,AAC_Super_Core,✍️
81,czytać,verb,2,AAC_Super_Core,📖
82,rysować,verb,2,AAC_Super_Core,🎨
83,oglądać,verb,2,AAC_Super_Core,📺
84,grać,verb,2,AAC_Super_Core,🎮
85,biegać,verb,2,AAC_Super_Core,🏃
86,skakać,verb,2,AAC_Super_Core,🦘
87,pływać,verb,2,AAC_Super_Core,🏊
88,boleć,verb,1,AAC_Super_Core,🤕
89,bać się,verb,2,AAC_Super_Core,😨
90,cieszyć się,verb,2,AAC_Super_Core,😄
91,jeszcze,adverb,1,AAC_Super_Core,➕
92,już,adverb,1,AAC_Super_Core,✅
93,teraz,time,1,AAC_Super_Core,⏰
94,potem,time,1,AAC_Super_Core,⏭️
95,zaraz,time,2,AAC_Super_Core,⏳
96,wczoraj,time,2,AAC_Super_Core,📆
97,jutro,time,2,AAC_Super_Core,🌅
98,dzisiaj,time,2,AAC_Super_Core,📅
99,zawsze,time,2,AAC_Super_Core,♾️
100,nigdy,time,2,AAC_Super_Core,🚫
101,czasami,time,2,AAC_Super_Core,⏱️
102,długo,time,2,AAC_Super_Core,📏
103,krótko,time,2,AAC_Super_Core,📐
104,tu,place,1,AAC_Super_Core,📍
105,tam,place,1,AAC_Super_Core,📍
106,blisko,place,2,AAC_Super_Core,📍
107,daleko,place,2,AAC_Super_Core,🗺️
108,góra,place,2,AAC_Super_Core,⛰️
109,dół,place,2,AAC_Super_Core,⬇️
110,środek,place,2,AAC_Super_Core,🎯
111,dobrze,adverb,1,AAC_Super_Core,👍
112,źle,adverb,1,AAC_Super_Core,👎
113,dużo,quantity,1,AAC_Super_Core,📊
114,mało,quantity,1,AAC_Super_Core,📉
115,więcej,quantity,1,AAC_Super_Core,⬆️
116,mniej,quantity,2,AAC_Super_Core,⬇️
117,szybko,adverb,2,AAC_Super_Core,⚡
118,wolno,adverb,2,AAC_Super_Core,🐢
119,głośno,adverb,2,AAC_Super_Core,🔊
120,cicho,adverb,2,AAC_Super_Core,🔇
121,fajnie,adverb,1,AAC_Super_Core,😎
122,ładnie,adverb,2,AAC_Super_Core,✨
123,dobry,adjective,1,AAC_Super_Core,👍
124,zły,adjective,1,AAC_Super_Core,👿
125,duży,adjective,1,AAC_Super_Core,🐘
126,mały,adjective,1,AAC_Super_Core,🐜
127,ciepły,adjective,1,AAC_Super_Core,🌡️
128,zimny,adjective,1,AAC_Super_Core,❄️
129,mokry,adjective,2,AAC_Super_Core,💧
130,suchy,adjective,2,AAC_Super_Core,🏜️
131,brudny,adjective,2,AAC_Super_Core,🤢
132,czysty,adjective,2,AAC_Super_Core,✨
133,głodny,adjective,1,AAC_Super_Core,🍽️
134,spragniony,adjective,2,AAC_Super_Core,🥤
135,zmęczony,adjective,2,AAC_Super_Core,😩
136,chory,adjective,2,AAC_Super_Core,🤒
137,smutny,adjective,2,AAC_Super_Core,😢
138,wesoły,adjective,2,AAC_Super_Core,😄
139,nowy,adjective,2,AAC_Super_Core,🆕
140,stary,adjective,2,AAC_Super_Core,👴
141,łatwy,adjective,2,AAC_Super_Core,✅
142,trudny,adjective,2,AAC_Super_Core,❌
143,fajny,adjective,1,AAC_Super_Core,😎
144,taki,adjective,2,AAC_Super_Core,👆
145,inny,adjective,2,AAC_Super_Core,🔄
146,sam,adjective,2,AAC_Super_Core,1️⃣
147,gotowy,adjective,2,AAC_Super_Core,✅
148,w,preposition,1,AAC_Super_Core,📥
149,na,preposition,1,AAC_Super_Core,⬆️
150,z,preposition,1,AAC_Super_Core,📤
151,do,preposition,1,AAC_Super_Core,➡️
152,o,preposition,1,AAC_Super_Core,💬
153,od,preposition,1,AAC_Super_Core,⬅️
154,dla,preposition,1,AAC_Super_Core,🎁
155,bez,preposition,2,AAC_Super_Core,🚫
156,przez,preposition,2,AAC_Super_Core,➡️
157,za,preposition,2,AAC_Super_Core,🔙
158,pod,preposition,2,AAC_Super_Core,⬇️
159,nad,preposition,2,AAC_Super_Core,⬆️
160,u,preposition,2,AAC_Super_Core,🏠
161,koło,preposition,2,AAC_Super_Core,📍
162,i,conjunction,1,AAC_Super_Core,➕
163,a,conjunction,1,AAC_Super_Core,🔄
164,ale,conjunction,1,AAC_Super_Core,⚠️
165,lub,conjunction,2,AAC_Super_Core,🔀
166,albo,conjunction,2,AAC_Super_Core,🔀
167,bo,conjunction,1,AAC_Super_Core,💡
168,że,conjunction,1,AAC_Super_Core,💬
169,żeby,conjunction,2,AAC_Super_Core,🎯
170,czy,conjunction,1,AAC_Super_Core,❓
171,mama,noun,1,AAC_Super_Core,👩
172,tata,noun,1,AAC_Super_Core,👨
173,dom,noun,1,AAC_Super_Core,🏠
174,szkoła,noun,1,AAC_Super_Core,🏫
175,przedszkole,noun,2,AAC_Super_Core,🧒
176,praca,noun,2,AAC_Super_Core,💼
177,pan,noun,1,AAC_Super_Core,👨
178,pani,noun,1,AAC_Super_Core,👩
179,dziecko,noun,2,AAC_Super_Core,👶
180,chłopak,noun,2,AAC_Super_Core,👦
181,dziewczyna,noun,2,AAC_Super_Core,👧
182,rodzina,noun,2,AAC_Super_Core,👨‍👩‍👧‍👦
183,woda,noun,1,AAC_Super_Core,💧
184,jedzenie,noun,1,AAC_Super_Core,🍽️
185,obiad,noun,2,AAC_Super_Core,🍝
186,śniadanie,noun,2,AAC_Super_Core,🥣
187,kolacja,noun,2,AAC_Super_Core,🍽️
188,chleb,noun,2,AAC_Super_Core,🍞
189,picie,noun,1,AAC_Super_Core,🥤
190,sok,noun,2,AAC_Super_Core,🧃
191,mleko,noun,2,AAC_Super_Core,🥛
192,jabłko,noun,2,AAC_Super_Core,🍎
193,ciastko,noun,2,AAC_Super_Core,🍪
194,toaleta,noun,1,AAC_Super_Core,🚽
195,łazienka,noun,2,AAC_Super_Core,🛁
196,pokój,noun,2,AAC_Super_Core,🛋️
197,łóżko,noun,2,AAC_Super_Core,🛏️
198,stół,noun,2,AAC_Super_Core,🪑
199,krzesło,noun,2,AAC_Super_Core,🪑
200,samochód,noun,2,AAC_Super_Core,🚗
201,autobus,noun,2,AAC_Super_Core,🚌
202,zabawa,noun,1,AAC_Super_Core,🎉
203,gra,noun,2,AAC_Super_Core,🎮
204,bajka,noun,2,AAC_Super_Core,📺
205,piłka,noun,2,AAC_Super_Core,⚽
206,lalka,noun,2,AAC_Super_Core,🪆
207,klocki,noun,2,AAC_Super_Core,🧱
208,tablet,noun,2,AAC_Super_Core,📱
209,telefon,noun,2,AAC_Super_Core,📞
210,komputer,noun,2,AAC_Super_Core,💻
211,pies,noun,2,AAC_Super_Core,🐕
212,kot,noun,2,AAC_Super_Core,🐱
213,dzień,noun,2,AAC_Super_Core,☀️
214,noc,noun,2,AAC_Super_Core,🌙
215,czas,noun,2,AAC_Super_Core,⏰
216,rzecz,noun,2,AAC_Super_Core,📦
217,sprawa,noun,2,AAC_Super_Core,📋
218,miejsce,noun,2,AAC_Super_Core,📍
219,problem,noun,2,AAC_Super_Core,⚠️
220,pomysł,noun,2,AAC_Super_Core,💡
221,pytać,verb,3,High_Frequency,❓
222,odpowiadać,verb,3,High_Frequency,💬
223,zmieniać,verb,3,High_Frequency,🔄
224,czuć,verb,3,High_Frequency,👃
225,zostać,verb,3,High_Frequency,🏠
226,wracać,verb,3,High_Frequency,🔙
227,spotkać,verb,3,High_Frequency,🤝
228,trzymać,verb,3,High_Frequency,✊
229,nosić,verb,3,High_Frequency,🎒
230,używać,verb,3,High_Frequency,🔧
231,nazywać,verb,3,High_Frequency,📛
232,pozwolić,verb,3,High_Frequency,✅
233,zostawić,verb,3,High_Frequency,🚪
234,prosić,verb,3,High_Frequency,🙏
235,pokazać,verb,3,High_Frequency,👆
236,wierzyć,verb,3,High_Frequency,🙏
237,kochać,verb,3,High_Frequency,❤️
238,nienawidzić,verb,3,High_Frequency,💔
239,martwić się,general,3,High_Frequency,😟
240,interesować,verb,3,High_Frequency,👀
241,próbować,verb,3,High_Frequency,🔄
242,sprawdzić,verb,3,High_Frequency,✔️
243,wyglądać,verb,3,High_Frequency,👀
244,zdarzyć się,general,3,High_Frequency,⚡
245,udać się,general,3,High_Frequency,✅
246,brakować,verb,3,High_Frequency,❌
247,kosztować,verb,3,High_Frequency,💰
248,płacić,verb,3,High_Frequency,💳
249,kupować,verb,3,High_Frequency,🛒
250,sprzedawać,verb,3,High_Frequency,🏪
251,podać,verb,3,High_Frequency,🤲
252,przynieść,verb,3,High_Frequency,📦
253,zanieść,verb,3,High_Frequency,📦
254,położyć,verb,3,High_Frequency,🛏️
255,postawić,verb,3,High_Frequency,🪑
256,wisieć,verb,3,High_Frequency,📍
257,upaść,verb,3,High_Frequency,⬇️
258,rzucić,verb,3,High_Frequency,🎯
259,złapać,verb,3,High_Frequency,✋
260,kopnąć,verb,3,High_Frequency,🦶
261,uderzyć,verb,3,High_Frequency,👊
262,tulić,verb,3,High_Frequency,🤗
263,całować,verb,3,High_Frequency,💋
264,śmiać się,general,3,High_Frequency,😂
265,płakać,verb,3,High_Frequency,😢
266,krzyczeć,verb,3,High_Frequency,📢
267,szeptać,verb,3,High_Frequency,🤫
268,śpiewać,verb,3,High_Frequency,🎤
269,tańczyć,verb,3,High_Frequency,💃
270,malować,verb,3,High_Frequency,🎨
271,gotować,verb,3,High_Frequency,👨‍🍳
272,piec,verb,3,High_Frequency,🥧
273,kroić,verb,3,High_Frequency,🔪
274,sprzątać,verb,3,High_Frequency,🧹
275,prać,verb,3,High_Frequency,🧺
276,prasować,verb,3,High_Frequency,👔
277,budować,verb,3,High_Frequency,🏗️
278,naprawiać,verb,3,High_Frequency,🔧
279,psuć,verb,3,High_Frequency,💔
280,zgubić,verb,3,High_Frequency,🔎
281,zapomnieć,verb,3,High_Frequency,🧠❌
282,przypomnieć,verb,3,High_Frequency,🧠✅
283,wybrać,verb,3,High_Frequency,☑️
284,woleć,verb,3,High_Frequency,👍
285,potrzebować,verb,3,High_Frequency,❗
286,ważny,adjective,3,High_Frequency,⚠️
287,możliwy,adjective,3,High_Frequency,✅
288,niemożliwy,adjective,3,High_Frequency,❌
289,prawdziwy,adjective,3,High_Frequency,✔️
290,sztuczny,adjective,3,High_Frequency,🤖
291,jasny,adjective,3,High_Frequency,☀️
292,ciemny,adjective,3,High_Frequency,🌑
293,kolorowy,adjective,3,High_Frequency,🌈
294,czarny,adjective,3,High_Frequency,⬛
295,biały,adjective,3,High_Frequency,⬜
296,czerwony,adjective,3,High_Frequency,🔴
297,niebieski,adjective,3,High_Frequency,🔵
298,zielony,adjective,3,High_Frequency,🟢
299,żółty,adjective,3,High_Frequency,🟡
300,długi,adjective,3,High_Frequency,📏
301,krótki,adjective,3,High_Frequency,📐
302,wysoki,adjective,3,High_Frequency,📏
303,niski,adjective,3,High_Frequency,📐
304,gruby,adjective,3,High_Frequency,🐘
305,chudy,adjective,3,High_Frequency,🦴
306,prosty,adjective,3,High_Frequency,📏
307,krzywy,adjective,3,High_Frequency,〰️
308,pełny,adjective,3,High_Frequency,💯
309,pusty,adjective,3,High_Frequency,⭕
310,otwarty,adjective,3,High_Frequency,📂
311,zamknięty,adjective,3,High_Frequency,📁
312,tani,adjective,3,High_Frequency,💰
313,drogi,adjective,3,High_Frequency,💎
314,bezpieczny,adjective,3,High_Frequency,🛡️
315,niebezpieczny,adjective,3,High_Frequency,⚠️
316,wolny,adjective,3,High_Frequency,🆓
317,zajęty,adjective,3,High_Frequency,📅
318,spokojny,adjective,3,High_Frequency,😌
319,nerwowy,adjective,3,High_Frequency,😰
320,miły,adjective,3,High_Frequency,😊
321,niemiły,adjective,3,High_Frequency,😠
322,mądry,adjective,3,High_Frequency,🧠
323,głupi,adjective,3,High_Frequency,🤪
324,piękny,adjective,3,High_Frequency,🌸
325,brzydki,adjective,3,High_Frequency,🤢
326,gorący,adjective,3,High_Frequency,🔥
327,smaczny,adjective,3,High_Frequency,😋
328,słodki,adjective,3,High_Frequency,🍬
329,kwaśny,adjective,3,High_Frequency,🍋
330,słony,adjective,3,High_Frequency,🧂
331,ostry,adjective,3,High_Frequency,🌶️
332,miękki,adjective,3,High_Frequency,☁️
333,twardy,adjective,3,High_Frequency,🪨
334,lekki,adjective,3,High_Frequency,🪶
335,ciężki,adjective,3,High_Frequency,🏋️
336,silny,adjective,3,High_Frequency,💪
337,słaby,adjective,3,High_Frequency,🥀
338,zdrowy,adjective,3,High_Frequency,💚
339,szczęśliwy,adjective,3,High_Frequency,😊
340,pierwszy,adjective,3,High_Frequency,1️⃣
341,drugi,adjective,3,High_Frequency,2️⃣
342,ostatni,adjective,3,High_Frequency,🔚
343,następny,adjective,3,High_Frequency,⏭️
344,poprzedni,adjective,3,High_Frequency,⏮️
345,tydzień,general,3,High_Frequency,📅
346,miesiąc,verb,3,High_Frequency,📆
347,rok,general,3,High_Frequency,🗓️
348,godzina,general,3,High_Frequency,🕐
349,minuta,general,3,High_Frequency,⏱️
350,rano,general,3,High_Frequency,🌅
351,wieczór,general,3,High_Frequency,🌆
352,południe,general,3,High_Frequency,☀️
353,poniedziałek,general,3,High_Frequency,📅
354,wtorek,general,3,High_Frequency,📅
355,środa,general,3,High_Frequency,📅
356,czwartek,general,3,High_Frequency,📅
357,piątek,general,3,High_Frequency,📅
358,sobota,general,3,High_Frequency,📅
359,niedziela,general,3,High_Frequency,📅
360,zima,general,3,High_Frequency,❄️
361,lato,general,3,High_Frequency,☀️
362,wiosna,general,3,High_Frequency,🌸
363,jesień,general,3,High_Frequency,🍂
364,święto,general,3,High_Frequency,🎉
365,urodziny,adjective,3,High_Frequency,🎂
366,głowa,general,3,High_Frequency,👤
367,ręka,general,3,High_Frequency,✋
368,noga,general,3,High_Frequency,🦵
369,brzuch,general,3,High_Frequency,🫃
370,oko,general,3,High_Frequency,👁️
371,ucho,general,3,High_Frequency,👂
372,nos,general,3,High_Frequency,👃
373,buzia,general,3,High_Frequency,👄
374,włosy,adjective,3,High_Frequency,💇
375,palec,verb,3,High_Frequency,👆
376,plecy,adjective,3,High_Frequency,🔙
377,krew,general,3,High_Frequency,🩸
378,serce,general,3,High_Frequency,❤️
379,herbata,general,3,High_Frequency,🍵
380,kawa,general,3,High_Frequency,☕
381,zupa,general,3,High_Frequency,🍲
382,mięso,general,3,High_Frequency,🥩
383,ziemniaki,adjective,3,High_Frequency,🥔
384,ryż,general,3,High_Frequency,🍚
385,makaron,general,3,High_Frequency,🍝
386,owoc,verb,3,High_Frequency,🍎
387,warzywo,general,3,High_Frequency,🥕
388,banan,general,3,High_Frequency,🍌
389,lody,adjective,3,High_Frequency,🍦
390,czekolada,general,3,High_Frequency,🍫
391,cukier,general,3,High_Frequency,🍬
392,sól,general,3,High_Frequency,🧂
393,sklep,general,3,High_Frequency,🏪
394,ulica,general,3,High_Frequency,🛣️
395,miasto,general,3,High_Frequency,🏙️
396,wieś,general,3,High_Frequency,🏡
397,ogród,general,3,High_Frequency,🌻
398,park,general,3,High_Frequency,🌳
399,plac zabaw,general,3,High_Frequency,🎪
400,las,general,3,High_Frequency,🌲
401,kuchnia,general,3,High_Frequency,🍳
402,salon,general,3,High_Frequency,🛋️
403,drzwi,adjective,3,High_Frequency,🚪
404,okno,general,3,High_Frequency,🪟
405,ściana,general,3,High_Frequency,🧱
406,podłoga,general,3,High_Frequency,🏠
407,schody,adjective,3,High_Frequency,🪜
408,winda,general,3,High_Frequency,🛗
409,klucz,general,3,High_Frequency,🔑
410,pieniądze,general,3,High_Frequency,💰
411,torba,general,3,High_Frequency,👜
412,plecak,general,3,High_Frequency,🎒
413,zegarek,general,3,High_Frequency,⌚
414,okulary,adjective,3,High_Frequency,👓
415,ubranie,general,3,High_Frequency,👕
416,buty,adjective,3,High_Frequency,👟
417,spodnie,general,3,High_Frequency,👖
418,koszulka,general,3,High_Frequency,👕
419,czapka,general,3,High_Frequency,🧢
420,kurtka,general,3,High_Frequency,🧥
421,papier,general,3,High_Frequency,📄
422,długopis,general,3,High_Frequency,🖊️
423,książka,general,3,High_Frequency,📚
424,zeszyt,general,3,High_Frequency,📓
425,prezent,general,3,High_Frequency,🎁
426,kobieta,general,3,High_Frequency,👩
427,mężczyzna,general,3,High_Frequency,👨
428,człowiek,general,3,High_Frequency,🧑
429,przyjaciel,general,3,High_Frequency,🤝
430,kolega,general,3,High_Frequency,👥
431,babcia,general,3,High_Frequency,👵
432,dziadek,general,3,High_Frequency,👴
433,siostra,general,3,High_Frequency,👧
434,brat,general,3,High_Frequency,👦
435,ciocia,general,3,High_Frequency,👩
436,wujek,general,3,High_Frequency,👨
437,lekarz,general,3,High_Frequency,👨‍⚕️
438,nauczyciel,general,3,High_Frequency,👨‍🏫
439,ptak,general,3,High_Frequency,🐦
440,koń,general,3,High_Frequency,🐴
441,krowa,general,3,High_Frequency,🐄
442,świnia,general,3,High_Frequency,🐷
443,ryba,general,3,High_Frequency,🐟
444,mysz,general,3,High_Frequency,🐭
445,imię,general,3,High_Frequency,📛
446,nazwisko,general,3,High_Frequency,📋
447,wiek,general,3,High_Frequency,🎂
448,adres,general,3,High_Frequency,📍
449,numer,general,3,High_Frequency,🔢
450,kolor,general,3,High_Frequency,🎨
451,kształt,general,3,High_Frequency,🔷
452,część,verb,3,High_Frequency,🧩
453,całość,verb,3,High_Frequency,🤲
454,początek,general,3,High_Frequency,▶️
455,koniec,verb,3,High_Frequency,🏁
456,błąd,general,3,High_Frequency,❌
457,prawda,general,3,High_Frequency,✔️
458,kłamstwo,general,3,High_Frequency,🤥
459,pytanie,general,3,High_Frequency,❓
460,odpowiedź,general,3,High_Frequency,💬
461,zdjęcie,general,3,High_Frequency,📸
462,muzyka,general,3,High_Frequency,🎵
463,film,general,3,High_Frequency,🎬
464,między,adjective,3,High_Frequency,↔️
465,obok,general,3,High_Frequency,📍
466,przed,general,3,High_Frequency,⏮️
467,razem,general,3,High_Frequency,👥
468,osobno,general,3,High_Frequency,1️⃣
469,tylko,general,3,High_Frequency,⚠️
470,nawet,general,3,High_Frequency,❗
471,też,general,3,High_Frequency,➕
472,chyba,general,3,High_Frequency,🤔
473,pewnie,general,3,High_Frequency,✔️
474,może,general,3,High_Frequency,🤷
475,naprawdę,general,3,High_Frequency,💯
476,właśnie,general,3,High_Frequency,⏰
477,śnić,verb,4,Supplementary,💭
478,marzyć,verb,4,Supplementary,💭
479,planować,verb,4,Supplementary,📋
480,smarować,verb,4,Supplementary,🧈
481,trzeć,verb,4,Supplementary,🧽
482,mieszać,verb,4,Supplementary,🥄
483,smażyć,verb,4,Supplementary,🍳
484,lać,verb,4,Supplementary,🫗
485,sypać,verb,4,Supplementary,🧂
486,odkurzać,verb,4,Supplementary,🧹
487,zamiatać,verb,4,Supplementary,🧹
488,wycierać,verb,4,Supplementary,🧻
489,suszyć,verb,4,Supplementary,☀️
490,wieszać,verb,4,Supplementary,👔
491,składać,verb,4,Supplementary,📦
492,ubierać,verb,4,Supplementary,👕
493,rozbierać,verb,4,Supplementary,👕
494,zapinać,verb,4,Supplementary,🔘
495,odpinać,verb,4,Supplementary,🔘
496,wiązać,verb,4,Supplementary,🎀
497,czesać,verb,4,Supplementary,💇
498,ciąć,verb,4,Supplementary,✂️
499,kleić,verb,4,Supplementary,🧴
500,liczyć,verb,4,Supplementary,🔢
